// Sample: , Map: , Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Mask_Grad_X,Mask_Grad_Y,Mask_Grad_Z,Mask_Angle, Mask_Distance_Mean,Mask_Distance_COV, Mask_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Neighbors, Neighbors_STD
183240, 0 ,1.0,1.0,1.0,105.20772708590218,180.72075626798193,118.30702836004932,94.38021332338216,6.637897702259214,6.199838568859678,199.0,29.0,27.0,0.9999873759049298,0.0010133694145533188,0.004921495016970965,94.38139966089004,-9.801769829480987E-4,0.999976791298392,-0.006742115221057199,6.637231963631131,-0.004928213048816069,0.0067372061718163475,0.9999651607776864,6.182467231211079,199.13369898289451,29.245378558079608,26.067776468740846,94.56911485666548,6.841554383282566,12165.0,151811.96323094296, 0.0, 0.0,0.0,NaN, 126.61360850424077,126.61360850424077,NaN, 8907.624666967124, 8.982379688517012, 43.65130615159521, 8.982379688517012, 44.06168590565816, 0.0049301552887490345, 43.65130615159521, 0.0049301552887490345, 38.43799827992002, 11.0, 0.0
183267, 0 ,1.0,1.0,1.0,147.82356857523303,153.20372836218377,143.61984021304926,3.523768039097723,2.729927241482721,3.4268005328456796,16.0,12.0,15.0,0.9317254882826835,-0.0708685700241148,0.356181499052284,3.54613061501144,0.3521784715636646,-0.06307909310891562,-0.9338047719837578,3.4099244956503556,0.08864501481457554,0.9954891630727548,-0.03381401415433798,2.7220908185271404,16.25470845860218,14.793948616061272,12.000700957533326,5.422570752396515,1.4859785544621942,1502.0,2885.8244206519043, 0.0, 0.0,0.0,NaN, 89.94994971107985,89.94994971107985,NaN, 12.416941193366611, -0.43476164049353977, 0.32706901228898405, -0.43476164049353977, 7.452502743789458, 0.11806184740806792, 0.32706901228898405, 0.11806184740806792, 11.742961891911433, 8.0, 0.0
183310, 0 ,1.0,1.0,1.0,115.34873527531732,18.196055154780385,13.461601680211853,6.994167574137423,5.905149821121203,5.898570451169713,30.0,26.0,25.0,-0.9118869070415714,-0.22948293475713535,0.34029377223424023,7.2163234752485685,0.30499363809396274,-0.9336849980819978,0.1876464896522956,5.834368302388469,0.2746655229335591,0.2748998126806794,0.9214059602041665,5.697993492895259,32.13280968650044,27.70558676055564,26.13959655395957,10.501026136186713,2.8828385177700864,10951.0,23270.994009697035, 0.0, 0.0,0.0,NaN, 87.62504072741307,87.62504072741307,0.0, 48.918380055115364, 3.655398170385694, -5.994599289263896, 3.655398170385694, 34.87079440988777, -1.8067810069778827, -5.994599289263896, -1.8067810069778827, 34.793133367412466, 12.0, 0.0
183573, 0 ,1.0,1.0,1.0,33.1219512195122,10.913279132791327,137.3658536585366,1.9955996274200893,2.239836988508988,89.69115345154786,8.0,9.0,198.0,0.005332777804601462,-0.002802072217386409,0.9999818547714631,89.69277992666372,0.5331024403151747,-0.8460346363255957,-0.005213661613767701,2.396669318272162,-0.8460338938901281,-0.533120570348496,0.0030179231934931595,1.7214820019626857,198.05335119490363,10.828567353662715,7.773101993048364,82.32224776284971,35.72883734952933,369.0,16670.459231987326, 0.0, 1.7763568394002505E-15,0.0,89.83945287796023, 71.68821103878808,71.68821103878808,0.0, 3.982417872959199, -1.374248132725232, 42.87679291427064, -1.374248132725232, 5.016869735093013, -22.521118381915493, 42.87679291427064, -22.521118381915493, 8044.503007469107, 5.0, 0.0
183614, 0 ,1.0,1.0,1.0,126.46242862005067,122.91536512498581,61.99682335589759,9.099082768091968,7.9661068403073,8.059482127975356,37.0,34.0,34.0,-0.8743581059609938,0.3670994857564654,0.317389146156012,9.336064573351182,0.47828949838794116,0.5412722400963742,0.6915659894998197,8.307262542487786,0.0820795849899047,0.7564802242348391,-0.6488455995608609,7.418537923022941,42.41607046285485,39.351021944546034,34.6794286709332,14.030847857159017,3.7871791602978035,26443.0,57883.9795408887, 0.0, 0.0,0.0,NaN, 123.26159760646362,123.26159760646362,1.9073486328125E-6, 82.7933072205882, -6.693986489745003, -4.292937866199673, -6.693986489745003, 63.45885819119075, 8.974809615796207, -4.292937866199673, 8.974809615796207, 64.95525217115417, 17.0, 0.0
183671, 0 ,1.0,1.0,1.0,97.7882951653944,49.6234096692112,19.223409669211197,3.5064412404058958,3.960062915891606,3.3412315959415464,15.0,16.0,14.0,0.006312286232219563,-0.8424808060572233,0.538689378461924,4.337289865435865,0.9965064373721716,-0.039562664101279545,-0.07355077079835202,3.510674587235494,0.08327709960334183,0.5372717068992015,0.8392878157386022,2.8291584638693323,18.80400549103835,15.326499529382758,11.999860719150448,6.015458929942552,1.7191017742216426,1965.0,3458.3548350243955, 0.0, 0.0,0.0,NaN, 111.33091636137279,111.33091636137279,0.0, 12.295130172419237, -0.22781759674714674, -0.2799295560346794, -0.22781759674714674, 15.682098297819927, -4.892456409559167, -0.2799295560346794, -4.892456409559167, 11.163828577718093, 8.0, 0.0
183809, 0 ,1.0,1.0,1.0,101.60112426743213,63.01136227723956,34.78824303313001,7.04532585232871,7.721670682711054,6.795310513985372,32.0,33.0,29.0,0.40274014310668327,0.9096245882105443,0.10189938985689224,7.872212842530841,-0.7141705018541477,0.38191520468676693,-0.5866014581557568,7.007400391062421,-0.5725040361532866,0.16347441681151026,0.8034396328513629,6.660455254743591,34.952760110125354,32.48658700101337,30.376443866211048,12.03857184623787,3.241889477169534,16722.0,34492.32692727244, 0.0, 0.0,0.0,NaN, 121.91387277418015,121.91387277418015,0.0, 49.636616365491264, 5.1579228793917, 2.7092800520856075, 5.1579228793917, 59.6241981322394, 0.5699218887516501, 2.7092800520856075, 0.5699218887516501, 46.176244981480146, 10.0, 0.0
184037, 0 ,1.0,1.0,1.0,53.79423534775341,181.20181348462592,168.51993313408641,7.0766826917840735,8.377068012179945,7.400740109752757,29.0,34.0,31.0,-0.08303320888587887,0.971527021447894,0.22190252999615753,8.429057308866527,-0.46414235594349224,-0.23474737440688553,0.8540875503297644,7.45769064110124,-0.8818601701184483,0.032076733088878,-0.4704186683721285,6.95409978059437,35.96927842734661,33.77165369170123,31.492130653044597,12.764625137196365,3.477068546901697,19741.0,38254.81423317087, -7.105427357601002E-15, 0.0,0.0,85.23706382058873, 65.10135315643343,65.10135315643343,0.0, 50.079437920196284, -1.0395741667316523, -3.2951234288709546, -1.0395741667316523, 70.17526848068846, 3.436380446471825, -3.2951234288709546, 3.436380446471825, 54.77095417210325, 13.0, 0.0
184040, 0 ,1.0,1.0,1.0,25.35054609701253,55.17683906199807,80.90346932219724,6.940183521246927,6.541833311070057,6.199216879842829,29.0,26.0,27.0,0.8472978012488286,0.276061658150282,-0.453736043199367,7.038543414845473,-0.47599876641406247,0.7736759080266922,-0.41815160374123206,6.909715457687135,-0.2356090201397047,-0.5702767312791142,-0.7869389044839618,5.666282660870036,32.84010809166178,32.75527219831413,26.804918492067273,10.96854317420748,3.013815013780597,12452.0,28833.693768727302, 0.0, 7.105427357601002E-15,0.0,73.97470795671506, 101.15584562771498,101.15584562771498,0.0, 48.16614730858739, -1.6807663432076478, -3.5901576928518217, -1.6807663432076478, 42.795583069825824, -7.24272722835512, -3.5901576928518217, -7.24272722835512, 38.43028992332826, 11.0, 0.0
184058, 0 ,1.0,1.0,1.0,148.91008448957444,38.422990465855364,99.72389737229672,7.156774199668119,7.240574279720432,5.88319054996656,30.0,30.0,26.0,-0.676728658504266,0.7305137311801625,-0.0915860869141923,8.204225247509566,-0.6040422279675616,-0.4797887678915744,0.6363456018839684,6.456513730890998,0.42091722415577293,0.4859551694985071,0.7659479510036414,5.409379116251952,36.809275319861825,29.72279092952435,25.7805105197684,11.294871055746839,3.2685090984197376,12901.0,28205.796439383037, 0.0, 0.0,0.0,NaN, 118.45404750502198,118.45404750502198,1.3486991523486091E-6, 51.21941694503524, -15.208381602946085, -2.4178186999562645, -15.208381602946085, 52.42591590014906, -6.339144869438232, -2.4178186999562645, -6.339144869438232, 34.61193104721584, 12.0, 0.0
