// Sample: , Map: , Neighbors:(1.0):
//LACUNA_NUMBER, TRIANGLES, SCALE_X, SCALE_Y, SCALE_Z, POS_X, POS_Y, POS_Z , STD_X, STD_Y, STD_Z,PROJ_X, PROJ_Y, PROJ_Z, PCA1_X, PCA1_Y, PCA1_Z, PCA1_S, PCA2_X, PCA2_Y, PCA2_Z, PCA2_S, PCA3_X, PCA3_Y, PCA3_Z, PCA3_S,PROJ_PCA1, PROJ_PCA2, PROJ_PCA3,OBJ_RADIUS, OBJ_RADIUS_STD, VOLUME, VOLUME_BOX, Gilberto_Grad_X,Gilberto_Grad_Y,Gilberto_Grad_Z,Gilberto_Angle, Gilberto_Distance_Mean,Gilberto_Distance_COV, Gilberto_Distance_STD, SHAPET_XX, SHAPET_XY, SHAPET_XZ, SHAPET_YX, SHAPET_YY, SHAPET_YZ, SHAPET_ZX, SHAPET_ZY, SHAPET_ZZ, Neighbors, Neighbors_STD
7246, 0 ,1.0,1.0,1.0,56.46099290780142,54.333333333333336,57.92198581560284,1.0142091947570993,2.401733022840457,1.3582995313332304,3.0,10.0,5.0,0.02373827179835909,-0.9817925416028102,0.1884672377500186,2.4333908836290807,0.032528375023392266,-0.18766200682616874,-0.9816948996568702,1.3020661104859517,-0.9991888706697872,-0.029434273340273095,-0.027481344264160542,1.0124979367619193,10.030130925576472,5.6591225255890265,3.2036065253912795,2.7553555589855994,1.0246634394372816,141.0,181.84228019376036, 0.0, 0.0,-7.105427357601002E-15,79.13665255376739, 75.83962592682859,75.83962592682859,0.0, 1.0286202907298438, -0.11820330969267151, 5.029928072028687E-4, -0.11820330969267151, 5.768321513002361, -0.782505910165484, 5.029928072028687E-4, -0.782505910165484, 1.8449776168200733, 8.0, 0.0
7250, 0 ,1.0,1.0,1.0,51.11206896551724,25.120689655172413,61.98275862068966,1.2160673736733203,1.2328490441879152,1.7219814099515667,4.0,5.0,7.0,0.27864422209188255,0.07927653298597634,0.9571168313286171,1.7635330362787296,0.2637096572607567,0.9519656484582179,-0.15562332994425665,1.2359511852926197,-0.9234796230357354,0.2957644932598369,0.2443537402302818,1.1516650975061549,7.336382796470062,5.598494216701116,4.774154959123173,2.342203118354053,0.6914052007752823,116.0,196.08741843217166, 0.0, 0.0,0.0,NaN, 66.83105185223837,66.83105185223837,0.0, 1.478819857312727, 0.08992271105826423, 0.46744946492271205, 0.08992271105826423, 1.5199167657550563, 0.10552913198573116, 0.46744946492271205, 0.10552913198573116, 2.965219976218785, 9.0, 0.0
7256, 0 ,1.0,1.0,1.0,9.114369501466276,60.274193548387096,52.67008797653959,22.518649136067612,2.3247128938398767,2.8010182989980086,99.0,8.0,11.0,-0.9998124522723882,-0.0019150080488240916,0.019271560010723957,22.52280829108028,-0.018924571999888257,0.3079702558929651,-0.9512077491588483,2.815045111649224,0.004113496772216557,0.9513940583319799,0.30794873747900053,2.266755427047833,99.12590873528562,12.348955920104899,10.091196353576706,11.609169977163415,19.635853047544362,682.0,12352.64836628082, 0.0, 0.0,7.105427357601002E-15,88.89575258792738, 62.460643622914816,62.460643622914816,6.743495761743046E-7, 507.0895589133186, 0.9451802100085144, -9.625024724589572, 0.9451802100085144, 5.404290038785374, -0.8347601929807983, -9.625024724589572, -0.8347601929807983, 7.845703511321697, 14.0, 0.0
7263, 0 ,1.0,1.0,1.0,37.522624434389144,71.30429864253394,21.56447963800905,2.342927045277655,3.05920901577768,2.9230950908615534,8.0,12.0,11.0,-0.10408865970327737,-0.7786477790189259,0.6187674742179562,3.3560758914368063,-0.4765267235950044,-0.5070411971926072,-0.7182141087790586,2.6917136643091117,-0.8729764215721898,0.36961718111903574,0.3182692363402921,2.2099737582641357,14.23812149687307,12.038951744533435,10.474591404652905,4.642243750153721,1.3572489882429077,884.0,1795.4712655433937, 0.0, 0.0,0.0,NaN, 51.927039227161835,51.927039227161835,NaN, 5.489307139493484, 1.087572428901949, 0.39729684076902566, 1.087572428901949, 9.358759802215442, -2.2136255912041225, 0.39729684076902566, -2.2136255912041225, 8.544484910218914, 13.0, 0.0
7264, 0 ,1.0,1.0,1.0,78.5,65.79299363057325,8.71656050955414,2.102849143969437,2.338779001214085,1.5677622956830348,8.0,9.0,6.0,-0.46532261969647637,0.8574574591703041,0.2196396260059057,2.5235410536147738,-0.8483150345989915,-0.36118456425135365,-0.3871786572370323,2.0144498653962764,0.2526587850681625,0.36648658401060935,-0.8954614017745905,1.3868931628298,11.167971728729306,8.831706315035873,5.878085980783872,3.357654022505397,1.037255908506486,314.0,579.7688250684117, 0.0, 0.0,0.0,NaN, 41.33216316471618,41.33216316471618,NaN, 4.421974522292993, -1.1194267515923566, 0.24681528662420374, -1.1194267515923566, 5.469887216519954, 1.1355937360542014, 0.24681528662420374, 1.1355937360542014, 2.457878615765339, 13.0, 0.0
7265, 0 ,1.0,1.0,1.0,86.12226640159045,60.56709741550696,57.32157057654076,3.049127442994585,3.988174732664527,3.7768879547522225,12.0,15.0,15.0,0.1580184768348295,0.9746685358635998,0.1582763601309697,4.016166141366483,0.0170673205726739,0.15757032442698063,-0.9873602683055698,3.770586927154549,-0.9872886444942381,0.15872251906230575,0.008264042306638632,3.0200467271801563,16.518828592933374,14.94310334783951,13.22638215165179,6.04406478769135,1.7137325715608074,2012.0,3264.8340675399472, 0.0, 0.0,0.0,NaN, 59.741054846058205,59.741054846058205,0.0, 9.297178163622695, 1.093187890549347, 0.08941035694382368, 1.093187890549347, 15.905537698263771, 0.2883141014746527, 0.08941035694382368, 0.2883141014746527, 14.264882622752427, 22.0, 0.0
7269, 0 ,1.0,1.0,1.0,89.78012422360248,25.706832298136646,21.72422360248447,2.3967063288614536,2.9048711332981028,2.685312626178281,8.0,12.0,11.0,0.4019684660368858,-0.7592626654304014,-0.5118022637654857,3.053953114523786,-0.31518612859338785,-0.6395228392430171,0.7011905892329576,2.7050279229135756,-0.859697072610036,-0.12054353143189649,-0.4963770747885745,2.1793521373871605,14.500824026686091,12.038969110115048,9.962179611982648,4.448842259895596,1.2653789846337358,805.0,1739.1472320857338, -1.4210854715202004E-14, -3.552713678800501E-15,0.0,72.35199996064716, 35.174265860430715,35.174265860430715,0.0, 5.744201226804545, -0.8793673083600195, -1.509083754484775, -0.8793673083600195, 8.438276301068605, 0.6272258014737092, -1.509083754484775, 0.6272258014737092, 7.210903900312497, 12.0, 0.0
7275, 0 ,1.0,1.0,1.0,63.29135053110774,26.98482549317147,7.68133535660091,2.1021200000785774,2.792209043542447,2.610554166741311,8.0,13.0,11.0,-0.2205762932107292,-0.8182528441112816,0.5308562724290009,2.953614409957007,0.006288226110042091,-0.5454432621138944,-0.8381241590760543,2.4714022534517377,-0.9753494538296538,0.18153217598638785,-0.12545721181280778,2.0490645948795754,13.59908036507002,9.783673690280619,9.08682814600759,4.187055211163731,1.2242963504510131,659.0,1208.9930779577805, 0.0, 0.0,0.0,NaN, 46.20290754473671,46.20290754473671,0.0, 4.418908494730357, 0.8101874132186286, -0.5399338216500372, 0.8101874132186286, 7.7964313428402265, -1.092847718412735, -0.5399338216500372, -1.092847718412735, 6.814993057490422, 13.0, 0.0
7286, 0 ,1.0,1.0,1.0,72.84938271604938,94.26172839506172,80.42222222222222,2.7549337764795054,2.2334476422506992,1.7489326551067494,10.0,9.0,7.0,-0.9957498571070346,-0.08186855904036792,-0.04218721502984565,2.7618678544682806,0.048746178510420846,-0.8571307743934564,0.5127871348506167,2.453602219864936,-0.07814110411269364,0.5085512507391245,0.8574786255176985,1.410190064030455,10.366841366272183,9.469728047911175,6.246798694167467,3.7722109087169473,1.1862288041177147,405.0,613.2555269060496, 0.0, 0.0,1.4210854715202004E-14,87.58213306312827, 33.961348068468205,33.961348068468205,0.0, 7.589660112787628, 0.2912726718488016, 0.33766803840878107, 0.2912726718488016, 4.988288370675207, -1.7524828532236005, 0.33766803840878107, -1.7524828532236005, 3.0587654320987445, 10.0, 0.0
7290, 0 ,1.0,1.0,1.0,31.42105263157895,59.89473684210526,79.05263157894737,0.7480352843974684,0.7177990366834661,0.7590634264134715,3.0,2.0,2.0,0.4520082313701136,0.458878366918963,0.7649308486049227,0.8317175511133025,-0.8066075557864972,0.5764241079463579,0.13084150230862543,0.742977315617195,0.38088424714313734,0.6761404381872378,-0.6306831994957331,0.6381223650164838,2.8996266624178872,2.4198226673594903,2.3638483230133502,1.2431670689315097,0.3248155904665158,19.0,16.586136361287867, 0.0, 0.0,0.0,NaN, 55.08635879424013,55.08635879424013,0.0, 0.5595567867036013, -0.008310249307479214, 0.08310249307479223, -0.008310249307479214, 0.515235457063712, 0.11080332409972296, 0.08310249307479223, 0.11080332409972296, 0.5761772853185596, 6.0, 0.0
